Ranking,Car_ID,Year,Car_Make,Car_Model
1,Car_ID," Year"," Car_Make"," Car_Model"
2,128,2010,Infiniti,G37
3,124,2015,Jeep,Wrangler
4,15,2014,Audi,S4
5,113,2012,Acura,"Tsx sportwagon"
6,83,2014,Honda,Accord
7,112,2008,Acura,TL
8,65,2009,Honda,Fit
9,50,2015,Acura,TLX
10,31,2007,Honda,Fit
11,91,2010,Mitsu,Lancer
12,216,2007,Chrystler,300
13,228,2010,Nissan,370
14,175,2006,Honda,Civic
15,126,2010,Volkswagen,Eos
16,13,2016,Honda,"Civic 1.5t"
17,127,2013,Acura,Tsx
18,63,2010,Honda,Civic
19,161,2012,Nissan,370z
20,3,2011,Nissan,370
21,180,2011,Volkswagen,Gti
22,57,2015,Scion,Frs
23,25,2012,Mercedes,C250
24,106,2007,Acura,"Tl type s"
25,36,2016,Subaru,WRX
26,178,2009,Honda,Oddesy
27,39,2011,Honda,Civic
28,103,2010,Acura,Tsx
29,84,2012,Mercedes,Cl63amg
30,33,2015,Subaru,Sti
31,30,2012,Hyundai,Celoster
32,123,2006,Lexus,Sc430
33,1051,2006,Acura,Tsx
34,218,2010,Chevy,Camaro
35,41,2012,Acura,Tsx
36,158,2007,Nissan,350z
37,48,2015,Acura,TLX
38,21,2009,Subaru,WRX
39,23,1998,Subaru,Legacy
40,12,1990,Nissan,240
41,38,2017,Hyundai,"Elantra sport"
42,35,2016,Honda,Civic
43,53,2013,Subaru,WRX
44,142,1993,Toyota,Supra
45,110,2011,Toyota,Camry
46,156,2014,Volkswagen,Gli
47,115,2001,Honda,Crv
48,43,2011,Toyota,"4 Runner"
49,37,2015,Subaru,Sti
50,137,2017,Ford,"Focus rs"
51,6,2016,Volkswagen,"Golf r"
52,134,2013,Subaru,WRX
53,225,2016,Acura,TLX
54,51,2015,Subaru,WRX
55,5,2003,Acura,Rsx
56,170,2014,Chevy,Cruze
57,189,2012,Toyota,"Fj cruiser"
58,88,2008,Honda,Accord
59,104,2014,Honda,"Civic si"
60,52,2007,Mazda,"Speed 3"
61,211,2004,Acura,Tsx
62,232,2018,Subaru,WRX
63,8,1991,Nissan,Skyline
64,140,1995,Mitsu,Evo8
65,Showcar,2014,Nissan,Gtr
66,121,2012,Acura,TL
67,118,1993,Honda,Civic
68,9,1996,Nissan,240
69,122,2011,Infiniti,M37s
70,85,2017,Honda,Accord
71,153,2017,Subaru,Brz
72,56,2009,Volkswagen,Jetta
73,49,1997,Acura,Integra
74,45,2006,Acura,TL
75,222,2015,Lexus,Is250
76,207,1993,Honda,"Civic eG"
77,176,2014,Mitsu,Lancer
78,44,2018,Honda,"Civic si"
79,19,2001,Mitsu,Evo7
80,20,2009,Infiniti,G37
81,99,2014,Honda,"Civic si"
82,145,1990,Volkswagen,Gti
83,179,2004,Volkswagen,R32
84,18,2015,Audi,S3
85,200,2016,Subaru,WRX
86,162,2014,Nissan,370z
87,78,2015,Mazda,6
88,10,2001,Nissan,S15
89,17,2016,Mercedes,C43
90,4341,1992,Nissan,Rps13
91,46,2008,Volkswagen,R32
92,24,2013,Subaru,BRZ
93,7,2014,Nissan,Sentra
94,181,2003,Volkswagen,Gti
95,120,2014,Ford,"Focus st"
96,92,2017,Hyundai,"Elantra sport"
97,11,1991,Nissan,Skyline
